OA,Mixed,Asian,Black,Other,White
E00021532,0.04,0.3,0.02,0.03,0.61
E00021533,0.01,0.14,0.01,0.02,0.83
E00021534,0.04,0.26,0.02,0.03,0.65
E00021535,0.03,0.3,0.02,0.01,0.64
E00021536,0.05,0.16,0.04,0.01,0.76
E00021537,0.06,0.27,0.04,0.04,0.6
E00021538,0.03,0.22,0.01,0.02,0.72
E00021539,0.04,0.28,0.02,0.02,0.65
E00021541,0.03,0.39,0.0,0.03,0.53
E00021542,0.03,0.42,0.02,0.02,0.52
E00021543,0.06,0.29,0.01,0.01,0.62
E00021544,0.03,0.26,0.02,0.03,0.66
E00021546,0.04,0.32,0.0,0.03,0.61
E00021547,0.0,0.47,0.08,0.04,0.4
E00021549,0.02,0.45,0.07,0.02,0.44
E00021550,0.1,0.33,0.13,0.02,0.42
E00021552,0.07,0.44,0.06,0.03,0.4
E00021553,0.03,0.52,0.04,0.06,0.35
E00021554,0.02,0.17,0.1,0.04,0.67
E00021555,0.02,0.52,0.11,0.03,0.32
E00021556,0.05,0.34,0.0,0.03,0.58
E00021557,0.06,0.25,0.03,0.03,0.63
E00021559,0.06,0.16,0.02,0.01,0.74
E00021560,0.04,0.54,0.06,0.01,0.33
E00021561,0.09,0.28,0.05,0.08,0.49
E00021562,0.05,0.44,0.02,0.02,0.48
E00021563,0.06,0.5,0.02,0.01,0.4
E00021564,0.05,0.41,0.05,0.03,0.45
E00021565,0.0,0.52,0.07,0.02,0.4
E00021566,0.02,0.38,0.07,0.06,0.49
E00021567,0.06,0.27,0.06,0.02,0.6
E00021569,0.05,0.25,0.05,0.02,0.64
E00021572,0.03,0.47,0.05,0.01,0.44
E00021574,0.04,0.44,0.03,0.03,0.46
E00021577,0.02,0.49,0.08,0.02,0.38
E00021579,0.04,0.67,0.05,0.02,0.22
E00021580,0.04,0.74,0.06,0.0,0.16
E00021582,0.01,0.77,0.03,0.0,0.18
E00021583,0.05,0.6,0.09,0.03,0.23
E00021584,0.06,0.37,0.12,0.01,0.45
E00021585,0.02,0.73,0.06,0.0,0.19
E00021586,0.04,0.71,0.02,0.02,0.21
E00021587,0.04,0.58,0.04,0.01,0.33
E00021588,0.02,0.57,0.08,0.06,0.27
E00021590,0.04,0.48,0.05,0.05,0.39
E00021591,0.01,0.74,0.09,0.01,0.15
E00021592,0.04,0.35,0.05,0.04,0.52
E00021593,0.04,0.32,0.08,0.06,0.5
E00021594,0.02,0.59,0.07,0.01,0.31
E00021595,0.05,0.49,0.05,0.0,0.4
E00021596,0.06,0.29,0.05,0.01,0.6
E00021597,0.03,0.6,0.05,0.04,0.28
E00021598,0.03,0.18,0.02,0.03,0.75
E00021599,0.06,0.2,0.02,0.01,0.71
E00021600,0.07,0.05,0.0,0.01,0.86
E00021601,0.03,0.08,0.05,0.02,0.82
E00021602,0.04,0.35,0.03,0.02,0.57
E00021603,0.02,0.06,0.02,0.02,0.87
E00021604,0.04,0.32,0.03,0.03,0.57
E00021605,0.04,0.1,0.04,0.02,0.79
E00021606,0.01,0.06,0.01,0.02,0.9
E00021607,0.04,0.45,0.05,0.02,0.44
E00021608,0.04,0.08,0.02,0.01,0.85
E00021610,0.02,0.34,0.02,0.02,0.61
E00021611,0.03,0.39,0.02,0.02,0.55
E00021612,0.05,0.06,0.02,0.02,0.85
E00021613,0.03,0.1,0.0,0.03,0.85
E00021614,0.04,0.08,0.02,0.02,0.84
E00021615,0.05,0.07,0.02,0.03,0.84
E00021616,0.03,0.72,0.05,0.01,0.19
E00021617,0.02,0.22,0.01,0.0,0.75
E00021618,0.02,0.76,0.05,0.02,0.15
E00021619,0.05,0.57,0.12,0.03,0.24
E00021620,0.07,0.39,0.05,0.04,0.45
E00021621,0.01,0.69,0.03,0.0,0.27
E00021622,0.05,0.19,0.01,0.02,0.72
E00021623,0.06,0.53,0.11,0.02,0.28
E00021624,0.04,0.13,0.02,0.02,0.78
E00021625,0.05,0.13,0.03,0.03,0.76
E00021626,0.03,0.11,0.02,0.02,0.83
E00021627,0.03,0.23,0.03,0.0,0.71
E00021628,0.03,0.11,0.01,0.0,0.84
E00021629,0.04,0.07,0.03,0.02,0.84
E00021630,0.08,0.31,0.03,0.03,0.55
E00021631,0.04,0.11,0.0,0.0,0.84
E00021632,0.06,0.13,0.02,0.05,0.74
E00021633,0.02,0.09,0.02,0.04,0.82
E00021634,0.02,0.29,0.01,0.02,0.65
E00021635,0.03,0.19,0.01,0.03,0.75
E00021636,0.04,0.63,0.05,0.0,0.29
E00021637,0.02,0.62,0.07,0.05,0.23
E00021639,0.0,0.78,0.05,0.01,0.15
E00021640,0.04,0.54,0.08,0.02,0.32
E00021641,0.04,0.64,0.05,0.01,0.27
E00021642,0.0,0.65,0.11,0.01,0.23
E00021643,0.04,0.59,0.04,0.01,0.32
E00021644,0.01,0.45,0.07,0.02,0.44
E00021646,0.02,0.74,0.07,0.02,0.15
E00021648,0.04,0.1,0.03,0.01,0.81
E00021649,0.03,0.65,0.05,0.01,0.26
E00021650,0.04,0.35,0.03,0.01,0.57
E00021651,0.06,0.25,0.02,0.01,0.66
E00021652,0.04,0.16,0.01,0.0,0.79
E00021653,0.02,0.76,0.07,0.01,0.14
E00021654,0.03,0.53,0.15,0.02,0.26
E00021655,0.0,0.81,0.01,0.04,0.14
E00021656,0.05,0.29,0.04,0.01,0.61
E00021657,0.03,0.21,0.01,0.0,0.74
E00021658,0.04,0.14,0.01,0.01,0.8
E00021659,0.02,0.53,0.06,0.05,0.34
E00021660,0.05,0.35,0.05,0.05,0.5
E00021661,0.04,0.42,0.1,0.02,0.43
E00021662,0.04,0.47,0.04,0.02,0.42
E00021663,0.04,0.39,0.14,0.04,0.4
E00021665,0.01,0.62,0.09,0.05,0.22
E00021666,0.05,0.55,0.05,0.01,0.33
E00021667,0.02,0.81,0.07,0.01,0.1
E00021668,0.03,0.38,0.07,0.02,0.5
E00021669,0.02,0.79,0.07,0.02,0.1
E00021670,0.02,0.66,0.07,0.03,0.22
E00021671,0.01,0.79,0.12,0.0,0.1
E00021672,0.02,0.56,0.03,0.04,0.35
E00021673,0.02,0.64,0.07,0.01,0.27
E00021674,0.02,0.53,0.01,0.02,0.41
E00021675,0.01,0.75,0.06,0.01,0.17
E00021676,0.04,0.14,0.02,0.02,0.77
E00021677,0.05,0.63,0.02,0.02,0.27
E00021678,0.03,0.42,0.02,0.02,0.51
E00021679,0.03,0.39,0.05,0.02,0.5
E00021680,0.04,0.37,0.05,0.02,0.51
E00021681,0.05,0.21,0.02,0.02,0.7
E00021682,0.03,0.63,0.03,0.01,0.29
E00021683,0.02,0.74,0.02,0.01,0.21
E00021685,0.04,0.48,0.05,0.02,0.4
E00021686,0.05,0.21,0.04,0.03,0.67
E00021687,0.04,0.29,0.05,0.03,0.6
E00021688,0.02,0.61,0.02,0.01,0.33
E00021689,0.03,0.17,0.02,0.07,0.72
E00021690,0.03,0.37,0.06,0.01,0.52
E00021691,0.03,0.47,0.04,0.02,0.44
E00021692,0.04,0.15,0.03,0.02,0.76
E00021693,0.01,0.4,0.04,0.02,0.52
E00021694,0.03,0.59,0.02,0.01,0.35
E00021695,0.04,0.31,0.03,0.02,0.59
E00021696,0.03,0.57,0.03,0.0,0.37
E00021697,0.03,0.33,0.12,0.04,0.47
E00021698,0.03,0.12,0.01,0.01,0.83
E00021699,0.04,0.33,0.09,0.01,0.53
E00021700,0.05,0.28,0.05,0.02,0.6
E00021701,0.05,0.23,0.04,0.01,0.68
E00021702,0.02,0.42,0.16,0.02,0.38
E00021703,0.05,0.37,0.05,0.01,0.53
E00021704,0.04,0.31,0.06,0.04,0.54
E00021705,0.03,0.39,0.05,0.01,0.5
E00021706,0.02,0.53,0.08,0.02,0.34
E00021707,0.03,0.48,0.1,0.01,0.39
E00021708,0.04,0.25,0.07,0.01,0.63
E00021709,0.06,0.52,0.08,0.04,0.31
E00021710,0.07,0.41,0.05,0.01,0.46
E00021711,0.04,0.4,0.04,0.03,0.49
E00021712,0.05,0.16,0.08,0.04,0.67
E00021713,0.06,0.52,0.1,0.02,0.3
